Data da coleta;Esfera; Município/UF;UF;pasta;contratante;Objeto;Descrição do objeto;Número do processo;Contrato;Número da Dispensa / Pregão;Favorecido;CNPJ ;Valor Total Contratado;Qual a quantidade discriminada?;Valor unitário (item) Contratado;Unidade de Medida;fonte da pesquisa;portal de transparência específico do Covid19;Descrição Resumida;ITEM_PADRONIZADO;MEDIDA_PADRONIZADA;PRECO_UNITARIO_PADRONIZADO;QUANTIDADE_PADRONIZADA
23/04/2020;Estadual;---/PR;PR;Outras;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná;Aquisição de Bens;Refil Álcool GEL antisséptico 70% e Álcool em gel para limpeza em virtude do COVID-19 (Coronavírus). / n/d;164812600;;3916/2020;ACTTION CURITIBA LTDA ME;2,76708E+13;R$ 632,00;100;6,32; Litro;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;alcool;1 litro;6,32;100,00
23/04/2020;Estadual;---/PR;PR;Outras;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná;Aquisição de Bens;Refil Álcool GEL antisséptico 70% e Álcool em gel para limpeza em virtude do COVID-19 (Coronavírus). / n/d;164812600;;3916/2020;PROT-CAP ARTIGOS PARA PROTEÇÃO INDUSTRIAL LTDA;4,38548E+13;R$ 9.295,65;100;92,96; Litro;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;alcool;1 litro;92,96;100,00
23/04/2020;Estadual;---/PR;PR;Outras;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná;Aquisição de Bens;Álcool em Gel 70% Antisséptico com 500ml com válvula PUMP, em virtude da pandemia causada pelo COVID-19 (Coronavirus) / Álcool, Gel, 70% V/V Antisséptico de mãos, COMPOSIÇÃO : Álcool etílico, glicerina e demais substâncias permitidas, SOLUBILIDADE: Total em água, COR: Incolor, AROMA: Neutro, EMBALAGEM: Frasco plástico com tampa e lacre de segurança, PESO LÍQUIDO: 500ml, UNID. DE MEDIDA: Unitário;164859070;;4105/2020;KALYDA COMERCIO DE PRODUTOS DE HIGIENE LTDA;8,10695E+13;R$ 63.000,00;2.500;25,20; Litro;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;alcool;1 litro;25,20;2500,00
23/04/2020;Estadual;---/PR;PR;Outras;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná;Aquisição de Bens;Máscara Descartável para retenção bacteriológica devido ao COVID-19 (Coronavírus). / Máscara, Cirúrgica, Descartável, COR: Branca, 100% polipropileno, Atóxico, retenção bacteriológica, CARACTERÍSTICAS ADICIONAIS: Produto de uso único, não estéril, anti-alérgico, elástico, EMBALAGEM: Caixa com 50 unidades, UNID. DE MEDIDA: Unitário;164931978;;4194/2020;ARQUITETIZZE IMPORTACAO E COMERCIO ATACADISTA EIRELI ;1,43734E+13;R$ 17.400,00;6.000;2,90;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;mascara;1 unidade;2,90;6000,00
23/04/2020;Estadual;---/PR;PR;Segurança;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens; AQUISIÇÃO MÁSCARAS DE PROTEÇÃO FACIAL TOTAL  / Máscara facial tipo “full face”, Composta por corpo ergonômico antialérgico, visor em policarbonato de ampla visão, bocal com conexão tipo rosca de 40mm de diâmetro, mascarilha interna com válvula direcional, Para fixação à cabeça deve possuir tirante com no mínimo quatro pontas ajustável, bem como possuir alça de transporte para ser carregada ao pescoço, A máscara deve ter uso compatível para cartuchos filtrantes das séries: 100, 200, 201, 202, 203 e 204, Os materiais utilizados na sua confecção devem atender à seguinte especificação: Corpo em silicone/EPDM, visor em policarbonato de alta resistência, tirante de cabeça EPDM, mascarilha em TPE, e alça de transporte em PVC, A máscara facial deve atender às especificações da ABNT - NBR 13.695/2006 – Equipamentos de Proteção Respiratória – Peça Facial Inteira e EN 136, bem como deve possuir Certificado de Aprovação CA, UNID. DE MEDIDA: Unitário;164946312;;4737/2020;HANNOVER PLÁSTICOS S/A;4,62615E+12;R$ 4.500,00;100;45,00;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;mascara n-95;1 unidade;45,00;100,00
23/04/2020;Estadual;---/PR;PR;Segurança;CGPM - Comando Geral da Polícia Militar;Aquisição de Bens;Aquisições  de LUVAS  E ÓCULOS DE  PROTEÇÃO para  atender  a  demanda  da Polícia Militar do Paraná. / n/d;164883400;;4744/2020;R.J.E COMERCIO DE EQUIPAMENTOS DE SEGURANÇA LTDA;1,02839E+13;R$ 562.600,00;20.000;28,13;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;oculos;1 unidade;28,13;20000,00
23/04/2020;Estadual;---/PR;PR;Segurança;CGPM - Comando Geral da Polícia Militar;Aquisição de Bens;Aquisições  de LUVAS  E ÓCULOS DE  PROTEÇÃO para  atender  a  demanda  da Polícia Militar do Paraná. / n/d;164883400;;4744/2020;GRANVILLE EQUIPAMENTOS DE SEGURANÇA LTDA;4,44714E+13;R$ 123.600,00;30.000;4,12;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;oculos;1 unidade;4,12;30000,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;TESTES RÁPIDOS PARA VÍRUS RESPIRATÓRIOS / Teste rápido, USO: Detecção de SARS-CoV-2, Detecção conjunta de anticorpos específicos tipos IgG e IgM, pela metodologia de imunocromatografia, que possibilite a detecção dos anticorpos em amostras de sangue total, soro ou plasma, Deverá acompanhar: Bula, Controle, Solução tampão e quaisquer outros insumos necessários para realização do teste, EMBALAGEM: Rotulada, lacrada, resistente e sem danos com Kit para 05, 10, 20, 40, 50 ou 100 testes, Será considerado como 01 (um) teste a detecção dos 02 (dois) anticorpos (IgG e IgM) juntos, UNID. DE MEDIDA: Teste;164953513;;5193/2020;L C I PRODUTOS DIAGNOSTICOS LTDA ;7,29379E+12;R$ 2.300,00;10;230,00;Unidade;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;teste;1 unidade;230,00;10,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;TESTES RÁPIDOS PARA VÍRUS RESPIRATÓRIOS. / Teste rápido, USO: Detecção de SARS-CoV-2, Detecção conjunta de anticorpos específicos tipos IgG e IgM, pela metodologia de imunocromatografia, que possibilite a detecção dos anticorpos em amostras de sangue total, soro ou plasma, Deverá acompanhar: Bula, Controle, Solução tampão e quaisquer outros insumos necessários para realização do teste, EMBALAGEM: Rotulada, lacrada, resistente e sem danos com Kit para 05, 10, 20, 40, 50 ou 100 testes, Será considerado como 01 (um) teste a detecção dos 02 (dois) anticorpos (IgG e IgM) juntos, UNID. DE MEDIDA: Teste;164953513;;5194/2020;L C I PRODUTOS DIAGNOSTICOS LTDA ;7,29379E+12;R$ 2.300,00;10;230,00;Unidade;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;teste;1 unidade;230,00;10,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;" aquisição de materiais respiratórios para suprir a demanda da UTI ADULTO / Ventilador Pulmonar, Adulto e pediátrico, Ventilação com compensação de fugas e de complacência; possuir nebulizador; Geração de ar comprimido tipo: turbina, sistema de pistão ou venture ou alimentação via rede de alta pressão; Ventilação controlada acionada automática em caso de apnéia (back up); Com monitor gráfico/numérico, colorido, tipo LCD para monitoração de gráficos e parâmetros; Apresentação de, no mínimo, 02 curvas gráficas simultâneas no monitor MONITORAÇÃO: Porcentagem de O2: 21 a 100%; Modos para ventilação: Assistido/Controlado (PCV, VCV), SIMV, CPAP, Pressão Suporte; Volume corrente: 100 a 2000 mL; Freqüência Respiratória: 4 a 60 resp/min; PEEP/CPAP: 0 – 35 cmH2O; Tempo inspiratório: 0,3 a 3 seg; Pressão inspiratória: 5 – 60 cmH2O; Pressão de suporte: 2 a 35 cmH2O; Pausa inspiratória; Relação I: E; Sensibilidade – disparo por fluxo e/ou pressão com faixa de 2,0 a 5,0 L/min; / -1 a – 10 cmH2O, respectivamente; Tempo de apnéia; Ciclo manual; Dispositivo para reset manual temporário de alarmes sonoros: Tempo máximo de 120 seg (Determinação da NBR 13763); Pressão inspiratória (platô, média, pico); Volume minuto; Gráficos de pressão x tempo, fluxo x tempo, volume x tempo; Loops V x P e F x V; Complacência; Resistência das vias aéreas, INDICADORES VISUAIS: Equipamento ligado na rede elétrica; Bateria de emergência em uso; Alarmes sonoros silenciados temporariamente; ALARMES: Alta pressão inspiratória; Baixo volume minuto; Apnéia; Bateria de emergência com baixa carga; Falta de alimentação elétrica; Desconexão do sistema respiratório (Determinação da NBR 13763); ACESSÓRIOS: 03 (três) circuitos completos para paciente adulto, autoclaváveis; 03 (três) circuitos completos para paciente pediátrico, autoclaváveis; Umidificador aquecido com controle de temperatura; Braço articulado; Válvulas de segurança para evitar barotrauma; Pulmão de teste, CARACTERÍSTICAS ADICIONAIS: Compatibilidade e rede elétrica de 127/220 VAC – 60 Hz; Equipamento dotado de bateria de emergência com autonomia mínima para 30 (trinta) minutos Conexões de entrada em conformidade com a NBR 254/1987; Pedestal de metal com pintura anticorrosiva, sobre rodízios portando sistema de frenagem, UNID. DE MEDIDA: Unitário";165035658;;5231/2020;AFH EQUIPAMENTOS HOSPITALARES LTDA.;1,32409E+13;R$ 309,30;30;10,31;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;monitor;1 unidade;10,31;30,00
